time,fix,NumSat,latitude,longitude,altitude,speed,ground_course,covariance
245.430983067,True,10,40.2679268333,-111.634492833,1491.1,0.1641077778,4.1116466519,0.9801
245.630429029,True,10,40.2679265,-111.634493,1491,0.1641077778,4.1116466519,0.9801
245.858509064,True,10,40.2679266667,-111.634491667,1490.8,0.6698066667,4.1116466519,0.9801
246.041962147,True,10,40.267928,-111.634489,1490.4,0.6698066667,4.1116466519,0.9801
246.231809139,True,10,40.267929,-111.634487333,1489.7,0.6698066667,4.1116466519,0.9801
246.441103935,True,10,40.2679285,-111.634486667,1489.7,1.16676,4.1116466519,0.9801
246.658503056,True,10,40.2679273333,-111.634484167,1489.1,1.1466966667,4.1116466519,0.9801
246.866503954,True,10,40.2679275,-111.634482167,1488.6,1.1466966667,4.1116466519,0.9801
247.031741142,True,10,40.2679281667,-111.634480667,1488.2,1.1466966667,4.1116466519,0.9801
247.230396032,True,10,40.2679286667,-111.6344815,1488.4,1.1466966667,4.1116466519,0.9801
247.458352089,True,10,40.2679296667,-111.6344815,1488.2,0.3086666667,4.1116466519,0.9801
247.645930052,True,10,40.2679313333,-111.6344825,1488.2,0.3086666667,4.1116466519,0.9801
247.831788063,True,10,40.267934,-111.634482667,1488.2,0.3086666667,4.1116466519,0.9801
248.035862923,True,10,40.2679363333,-111.634480167,1487.7,0.3086666667,4.1116466519,0.9801
248.258116007,True,10,40.2679383333,-111.634480333,1487.7,0.5257622222,4.1116466519,0.9801
248.466468096,True,10,40.2679395,-111.634478833,1487.6,0.5257622222,4.1116466519,0.9801
248.631624937,True,10,40.2679401667,-111.634477167,1486.7,0.5257622222,4.1116466519,0.9801
248.830672979,True,10,40.2679423333,-111.634475167,1485.2,0.5257622222,4.1116466519,0.9801
249.058993101,True,10,40.267946,-111.634475667,1484.3,0.5257622222,4.1116466519,0.9801
249.245950937,True,10,40.2679508333,-111.6344745,1482.9,0.5257622222,4.1116466519,0.9801
249.438868046,True,10,40.267953,-111.634472833,1482.1,0.5257622222,4.1116466519,0.9801
249.659203053,True,10,40.267955,-111.634470167,1481.6,0.5257622222,4.1116466519,0.9801
249.859421968,True,10,40.2679571667,-111.634468,1481.4,1.56494,1.6966345659,0.9801
250.066422939,True,10,40.2679583333,-111.634465833,1481,1.56494,1.6966345659,0.9801
250.232223988,True,10,40.2679588333,-111.634465333,1480.8,1.56494,1.6966345659,0.9801
250.430310965,True,10,40.2679588333,-111.6344655,1480.6,1.56494,1.6966345659,0.9801
250.659832001,True,10,40.2679586667,-111.634465333,1480.2,0.5175311111,1.6966345659,0.9801
250.84574914,True,10,40.2679578333,-111.634464333,1479.9,0.5175311111,1.6966345659,0.9801
251.033859015,True,10,40.2679581667,-111.634466833,1479.9,0.5175311111,1.6966345659,0.9801
251.258981943,True,10,40.2679571667,-111.634468667,1479.6,0.5175311111,1.6966345659,0.9801
251.454134941,True,10,40.2679561667,-111.634471167,1479.8,0.40744,1.6966345659,0.9801
251.661329031,True,10,40.2679535,-111.634473167,1480.5,0.40744,1.6966345659,0.9801
251.832206011,True,10,40.2679521667,-111.634480667,1482.2,0.40744,1.6966345659,0.9801
252.030776024,True,10,40.2679505,-111.634495667,1486.7,0.6718644444,2.9991737866,0.9801
252.257067919,True,10,40.2679436667,-111.634503167,1489.2,0.6718644444,2.9991737866,0.9801
252.446977139,True,10,40.2679383333,-111.634504833,1490.9,0.6718644444,2.9991737866,0.9801
252.630404949,True,10,40.2679305,-111.6345045,1493.2,0.6718644444,2.9991737866,0.9801
252.859148026,True,10,40.2679283333,-111.6345075,1494.3,0.6718644444,2.9991737866,0.9801
253.070291042,True,10,40.267928,-111.634510833,1495.4,0.6718644444,2.9991737866,0.9801
253.286168098,True,10,40.2679291667,-111.634515333,1495.8,0.6718644444,2.9991737866,0.9801
253.432476044,True,10,40.267931,-111.634517667,1495.8,0.6718644444,2.9991737866,0.9801
253.660506964,True,10,40.2679326667,-111.634522833,1496.1,0.7202222222,4.5544366831,0.9801
253.858649015,True,10,40.2679338333,-111.6345265,1496.4,0.5576577778,4.4802601899,0.9801
254.046116114,True,10,40.2679341667,-111.634529667,1496.6,0.5576577778,4.4802601899,0.9801
254.230082989,True,10,40.267934,-111.634532667,1496.7,0.5576577778,4.4802601899,0.9801
254.45983696,True,10,40.267934,-111.634537167,1497.4,0.5576577778,4.4802601899,0.9801
254.689959049,True,10,40.2679346667,-111.634537333,1497.8,1.0448366667,4.5101053201,0.9801
254.887047052,True,10,40.2679365,-111.634535333,1498.5,1.0448366667,4.5101053201,0.9801
255.031404972,True,10,40.2679386667,-111.634533333,1499.1,1.0448366667,4.5101053201,0.9801
255.243225098,True,10,40.2679395,-111.634534333,1499.4,1.0448366667,4.5101053201,0.9801
255.460534096,True,10,40.2679408333,-111.634524667,1499,1.0448366667,4.5101053201,0.9801
255.661530018,True,10,40.2679443333,-111.634515,1499,1.0448366667,4.5101053201,0.9801
255.832505941,True,10,40.2679471667,-111.634510333,1499.1,1.0448366667,4.5101053201,0.9801
256.059745073,True,10,40.2679476667,-111.634511333,1499.4,1.2377533333,4.6750389344,0.9801
256.27108407,True,10,40.2679475,-111.634514667,1499.8,1.2377533333,4.6750389344,0.9801
